cluster,original,original_path,duplicate,duplicate_path,affected_elements,original_size,duplicate_size,affected_annotations,original_size_no_annotations,duplicate_size_no_annotations,package_content_movements,relative_change_with_saturation,scenario,final_label
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,17652,dsevilla$ecore2racket$ecore2racket#es.um.catedrasaes.ecore2racket#model#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,17097,kevoree$kmf-samples$ecore#org.kevoree.modeling.sample.ecore.kt#metamodel#ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,303,kevoree$kmf-samples$ecore#org.kevoree.modeling.sample.ecore.js#metamodel#ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,29077,kevoree$kmf-samples$ecore#org.kevoree.modeling.sample.ecore.kt#src#test#resources#ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,27415,mvalle$model-generator$model-generator#src#uk#ac#york#cs#mv525#modelgen#test#data#metamodels#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,11150,LangleyStudios$eclipse-avro$test#org.eclipse.emf.ecore#model#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,3367,ModelWriter$UC-TR-03$clafer4emf#com.clafer4emf.metamodels.ecore#model#ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,6392,seyyedshah$hawk-drivers$org.hawk.ifc#models#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,547,thallgren$recore$model#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,19400,diverse-project$melange$tests#fr.inria.diverse.melange.tests#tests-inputs#metamodels#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,3400,xhaakon$eclipse4-platform$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,8413,diverse-project$melange$tests#fr.inria.diverse.melange.tests#tests-inputs#metamodels#merge#expected#ConflictingAttributeExpected.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,490,diverse-project$melange$tests#fr.inria.diverse.melange.tests#tests-inputs#metamodels#Ecore2.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,8178,diverse-project$melange$tests#fr.inria.diverse.melange.tests#tests-inputs#metamodels#merge#expected#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,461,diverse-project$melange$tests#fr.inria.diverse.melange.tests#tests-inputs#metamodels#merge#expected#ConflictingContainment.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,2945,epsilonlabs$epsilonlabs$org.eclipse.epsilon.labs.indexed.emf#test#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,7319,Cooperate-Project$UMLNotationBenchmark$metamodels#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,24428,hallvard$emfblocks$no.hal.emfblocks.examples#src#no#hal#emfblocks#examples#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,9461,diverse-project$melange$tests#samples#fr.inria.diverse.melange.tests.ecore.main#metamodel#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,23768,wrwei$org.eclipse.epsilon.labs.smartsax.emc.emf$org.eclipse.epsilon.labs.smartsax.emc.emf#test#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,9058,leoCassiau$Travaux$Model Driven Engineering#com.mia.studio.ide-9.2.1.gtk.x86_64#configuration#org.eclipse.osgi#162#0#.cp#model#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,16330,ModelWriter$Demonstrations$eu.modelwriter.demonstration.synthesis#Requirements#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,21753,ModelWriter$Demonstrations$eu.modelwriter.demonstration.alloyinecore#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,14397,fbanchero$Proyecto2017$ifml#model#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,11456,atlanmod$ATL-Fluid$fr.ubl.ter.atlfluid.tests#metamodels#EMF.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,28318,moji1$MDebugger$StateChartDebugInstrument#MetaModels#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,27327,kortef$Cloud-Resource-Modelling$de.ugoe.cs.oco#bundles#de.ugoe.cs.oco.transformations#src#models#metaModels#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,12613,LorenzoBettini$edelta$edelta.parent#edelta.tests#src#edelta#tests#input#models#EcoreForTests.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,17616,gcr-nist$gateway-demo$run#gateway-demo-0.0.1-SNAPSHOT#model#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,26482,mondo-project$mondo-hawk$tests#org.hawk.integration.tests#resources#metamodels#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,2517,Fhma$MT_EOL$uk.ac.york.cs.mutation.operators.generator.eol#src#uk#ac#york#cs#mutation#operators#generator#resources#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,18130,himi$QPE$org.omg.qpe.model#model#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,7848,ModelWriter$AlloyInEcore$Source#eu.modelwriter.core.alloyinecore#src#test#resources#AlloyInECore#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,9220,atlanmod$DynamicAnalyser$parsing#src#main#resources#hawk#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,5139,TransformationToolContest$ttc2018liveContest$solutions#Hawk#org.hawk.ttc2018#src#org#hawk#ttc2018#metamodels#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,1366,Fhma$MT_EOL$uk.ac.york.cs.emu.eol.examples.mutations.generator#metamodels#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,10836,Fhma$MT_EOL$org.eclipse.epsilon.haetae.eol.ast2eol.workbench#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,19365,TransformationToolContest$ttc2018liveContest$metamodels#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,27929,PasternakMichal$SimGen$SimGen DSL#cs.queensu.ca.Unity#UMLRT-Profiles#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,6494,atlanmod$MDE4RTS$src#main#resources#hawk#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,9473,SOM-Research$hawk-neoemf-models-2018-tutorial$projects#tutorial.common#metamodels#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,7323,MajidGitHubRepos$MReplayer$MDebugger#StateChartDebugInstrument#MetaModels#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,6397,repairvision$repairvision$plugins.domain#org.sidiff.ecore.editrules.repair.evaluation#examples#operation_with_generic_parameter#2013-01-06_svn08931_Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,15094,Fhma$MT_ATL$uk.ac.york.cs.mutation.operators.generator#src#uk#ac#york#cs#mutation#operators#generator#resources#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,4597,blindGitHubRepos$TraceOrdering$MDebugger#MetaModels#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,5596,TransformationToolContest$ttc2019-tt2bdd$metamodels#Ecore.ecore,1,304,304,1,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,22273,nagy511$App4MC-Fork-Repository$plugins#org.eclipse.app4mc.amalthea.model.help#help-model#ecore#ecore.ecore,0,304,304,0,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,29966,nagy511$App4MC-Fork-Repository$plugins#org.eclipse.app4mc.amalthea.model#model-gen#ecore#ecore.ecore,0,304,304,0,210,210,0,0.0,inter,A
0,6980,olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore,27282,balazssimon$meta-cs$src#Test#MetaDslx.Bootstrap#Ecore.ecore,0,304,304,0,210,210,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,9863,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#repetition#invalidStartTag#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,14996,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#repetition#missingPipe#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
1,12190,ModelWriter$Source$tests#org.eclipse.mylyn.docs.intent.mapping.emf.tests#model#anydsl.ecore,5821,ObeoNetwork$M2Doc$tests#org.obeonetwork.m2doc.tests#resources#repetition#nominal#anydsl.ecore,0,116,116,0,114,114,0,0.0,inter,A
