sample_file,sample_number,relative_change,label,label2,final_label
sampled_relative_change_-0.000728-0.092.csv,0,0.032258065,B,B,
sampled_relative_change_-0.000728-0.092.csv,1,0.002439024,B,B,
sampled_relative_change_-0.000728-0.092.csv,2,0.043478261,B,B,
sampled_relative_change_-0.000728-0.092.csv,3,0.041666667,B,B,
sampled_relative_change_-0.000728-0.092.csv,4,0.065902579,B,B,
sampled_relative_change_-0.000728-0.092.csv,5,0.072463768,B,B,
sampled_relative_change_-0.000728-0.092.csv,6,0.037037037,B,B,
sampled_relative_change_-0.000728-0.092.csv,7,0.044642857,B,B,
sampled_relative_change_-0.000728-0.092.csv,8,0.058823529,B,B,
sampled_relative_change_-0.000728-0.092.csv,9,0.037037037,B,B,
sampled_relative_change_-0.000728-0.092.csv,10,0.003259689,,,
sampled_relative_change_-0.000728-0.092.csv,11,0.043478261,,,
sampled_relative_change_-0.000728-0.092.csv,12,0.027667984,,,
sampled_relative_change_-0.000728-0.092.csv,13,0.020833333,,,
sampled_relative_change_-0.000728-0.092.csv,14,0.075,,,
sampled_relative_change_-0.000728-0.092.csv,15,0.012195122,,,
sampled_relative_change_-0.000728-0.092.csv,16,0.066666667,,,
sampled_relative_change_-0.000728-0.092.csv,17,0.045278137,,,
sampled_relative_change_-0.000728-0.092.csv,18,0.027027027,,,
sampled_relative_change_-0.000728-0.092.csv,19,0.041666667,,,
sampled_relative_change_0.092-0.184.csv,0,0.130434783,C,B,B
sampled_relative_change_0.092-0.184.csv,1,0.166666667,B,B,
sampled_relative_change_0.092-0.184.csv,2,0.098039216,B,B,
sampled_relative_change_0.092-0.184.csv,3,0.136182543,B,B,
sampled_relative_change_0.092-0.184.csv,4,0.154929577,B,B,
sampled_relative_change_0.092-0.184.csv,5,0.115646259,B,B,
sampled_relative_change_0.092-0.184.csv,6,0.125475285,C,C,
sampled_relative_change_0.092-0.184.csv,7,0.113636364,B,B,
sampled_relative_change_0.092-0.184.csv,8,0.128205128,B,B,
sampled_relative_change_0.092-0.184.csv,9,0.153846154,B,B,
sampled_relative_change_0.092-0.184.csv,10,0.166666667,,,
sampled_relative_change_0.092-0.184.csv,11,0.16,,,
sampled_relative_change_0.092-0.184.csv,12,0.136182543,,,
sampled_relative_change_0.092-0.184.csv,13,0.1,,,
sampled_relative_change_0.092-0.184.csv,14,0.094339623,,,
sampled_relative_change_0.092-0.184.csv,15,0.16,,,
sampled_relative_change_0.092-0.184.csv,16,0.157894737,,,
sampled_relative_change_0.092-0.184.csv,17,0.142857143,,,
sampled_relative_change_0.092-0.184.csv,18,0.142857143,,,
sampled_relative_change_0.092-0.184.csv,19,0.162356322,,,
sampled_relative_change_0.184-0.276.csv,0,0.229166667,C,C,
sampled_relative_change_0.184-0.276.csv,1,0.226415094,C,C,
sampled_relative_change_0.184-0.276.csv,2,0.25862069,B,B,
sampled_relative_change_0.184-0.276.csv,3,0.263157895,B,B,
sampled_relative_change_0.184-0.276.csv,4,0.204081633,B,B,
sampled_relative_change_0.184-0.276.csv,5,0.205298013,C,C,
sampled_relative_change_0.184-0.276.csv,6,0.264759145,C,C,
sampled_relative_change_0.184-0.276.csv,7,0.25877193,C,C,
sampled_relative_change_0.184-0.276.csv,8,0.259259259,B,C,B
sampled_relative_change_0.184-0.276.csv,9,0.231578947,C,C,
sampled_relative_change_0.184-0.276.csv,10,0.191489362,,,
sampled_relative_change_0.184-0.276.csv,11,0.232843137,,,
sampled_relative_change_0.184-0.276.csv,12,0.240909091,,,
sampled_relative_change_0.184-0.276.csv,13,0.204081633,,,
sampled_relative_change_0.184-0.276.csv,14,0.238095238,,,
sampled_relative_change_0.184-0.276.csv,15,0.275362319,,,
sampled_relative_change_0.184-0.276.csv,16,0.193548387,,,
sampled_relative_change_0.184-0.276.csv,17,0.212121212,,,
sampled_relative_change_0.184-0.276.csv,18,0.245454545,,,
sampled_relative_change_0.184-0.276.csv,19,0.25877193,,,
sampled_relative_change_0.276-0.367.csv,0,0.333333333,C,C,
sampled_relative_change_0.276-0.367.csv,1,0.287671233,B,C,C
sampled_relative_change_0.276-0.367.csv,2,0.364137931,C,C,
sampled_relative_change_0.276-0.367.csv,3,0.278026906,C,C,
sampled_relative_change_0.276-0.367.csv,4,0.311688312,C,C,
sampled_relative_change_0.276-0.367.csv,5,0.302631579,C,B,C
sampled_relative_change_0.276-0.367.csv,6,0.321212121,C,C,
sampled_relative_change_0.276-0.367.csv,7,0.277607362,C,C,
sampled_relative_change_0.276-0.367.csv,8,0.305214724,C,C,
sampled_relative_change_0.276-0.367.csv,9,0.284946237,C,C,
sampled_relative_change_0.276-0.367.csv,10,0.301886792,,,
sampled_relative_change_0.276-0.367.csv,11,0.34605598,,,
sampled_relative_change_0.276-0.367.csv,12,0.313131313,,,
sampled_relative_change_0.276-0.367.csv,13,0.294117647,,,
sampled_relative_change_0.276-0.367.csv,14,0.275862069,,,
sampled_relative_change_0.276-0.367.csv,15,0.281481481,,,
sampled_relative_change_0.276-0.367.csv,16,0.308641975,,,
sampled_relative_change_0.276-0.367.csv,17,0.3125,,,
sampled_relative_change_0.276-0.367.csv,18,0.345454545,,,
sampled_relative_change_0.276-0.367.csv,19,0.342105263,,,
sampled_relative_change_0.367-0.459.csv,0,0.372881356,C,B,C
sampled_relative_change_0.367-0.459.csv,1,0.379746835,C,C,
sampled_relative_change_0.367-0.459.csv,2,0.392857143,C,C,
sampled_relative_change_0.367-0.459.csv,3,0.435483871,C,C,
sampled_relative_change_0.367-0.459.csv,4,0.456140351,C,C,
sampled_relative_change_0.367-0.459.csv,5,0.435483871,C,C,
sampled_relative_change_0.367-0.459.csv,6,0.392156863,C,C,
sampled_relative_change_0.367-0.459.csv,7,0.376623377,C,C,
sampled_relative_change_0.367-0.459.csv,8,0.447674419,C,C,
sampled_relative_change_0.367-0.459.csv,9,0.390457644,C,C,
sampled_relative_change_0.367-0.459.csv,10,0.431818182,,,
sampled_relative_change_0.367-0.459.csv,11,0.404255319,,,
sampled_relative_change_0.367-0.459.csv,12,0.447839046,,,
sampled_relative_change_0.367-0.459.csv,13,0.418181818,,,
sampled_relative_change_0.367-0.459.csv,14,0.394299287,,,
sampled_relative_change_0.367-0.459.csv,15,0.384615385,,,
sampled_relative_change_0.367-0.459.csv,16,0.423913043,,,
sampled_relative_change_0.367-0.459.csv,17,0.455654102,,,
sampled_relative_change_0.367-0.459.csv,18,0.403508772,,,
sampled_relative_change_0.367-0.459.csv,19,0.441176471,,,
sampled_relative_change_0.459-0.551.csv,0,0.522727273,C,C,
sampled_relative_change_0.459-0.551.csv,1,0.522727273,C,C,
sampled_relative_change_0.459-0.551.csv,2,0.504672897,C,C,
sampled_relative_change_0.459-0.551.csv,3,0.493670886,C,C,
sampled_relative_change_0.459-0.551.csv,4,0.537037037,C,C,
sampled_relative_change_0.459-0.551.csv,5,0.475247525,C,B,B
sampled_relative_change_0.459-0.551.csv,6,0.550458716,C,C,
sampled_relative_change_0.459-0.551.csv,7,0.510752688,C,C,
sampled_relative_change_0.459-0.551.csv,8,0.524173028,C,C,
sampled_relative_change_0.459-0.551.csv,9,0.510948905,C,C,
sampled_relative_change_0.459-0.551.csv,10,0.470355731,,,
sampled_relative_change_0.459-0.551.csv,11,0.50867052,,,
sampled_relative_change_0.459-0.551.csv,12,0.549889135,,,
sampled_relative_change_0.459-0.551.csv,13,0.510948905,,,
sampled_relative_change_0.459-0.551.csv,14,0.505263158,,,
sampled_relative_change_0.459-0.551.csv,15,0.524173028,,,
sampled_relative_change_0.459-0.551.csv,16,0.464285714,,,
sampled_relative_change_0.459-0.551.csv,17,0.518518519,,,
sampled_relative_change_0.459-0.551.csv,18,0.526315789,,,
sampled_relative_change_0.459-0.551.csv,19,0.512195122,,,
sampled_relative_change_0.551-0.643.csv,0,0.5625,C,C,
sampled_relative_change_0.551-0.643.csv,1,0.574944072,C,C,
sampled_relative_change_0.551-0.643.csv,2,0.55453149,C,C,
sampled_relative_change_0.551-0.643.csv,3,0.632653061,C,C,
sampled_relative_change_0.551-0.643.csv,4,0.569343066,C,C,
sampled_relative_change_0.551-0.643.csv,5,0.587234043,C,C,
sampled_relative_change_0.551-0.643.csv,6,0.588235294,C,C,
sampled_relative_change_0.551-0.643.csv,7,0.609375,C,C,
sampled_relative_change_0.551-0.643.csv,8,0.625,C,C,
sampled_relative_change_0.551-0.643.csv,9,0.625,C,C,
sampled_relative_change_0.551-0.643.csv,10,0.625,,,
sampled_relative_change_0.551-0.643.csv,11,0.632653061,,,
sampled_relative_change_0.551-0.643.csv,12,0.607843137,,,
sampled_relative_change_0.551-0.643.csv,13,0.631043257,,,
sampled_relative_change_0.551-0.643.csv,14,0.640625,,,
sampled_relative_change_0.551-0.643.csv,15,0.575757576,,,
sampled_relative_change_0.551-0.643.csv,16,0.627027027,,,
sampled_relative_change_0.551-0.643.csv,17,0.562267658,,,
sampled_relative_change_0.551-0.643.csv,18,0.6,,,
sampled_relative_change_0.551-0.643.csv,19,0.583333333,,,
sampled_relative_change_0.643-0.734.csv,0,0.655339806,C,C,
sampled_relative_change_0.643-0.734.csv,1,0.703125,C,C,
sampled_relative_change_0.643-0.734.csv,2,0.674300254,C,C,
sampled_relative_change_0.643-0.734.csv,3,0.703125,C,C,
sampled_relative_change_0.643-0.734.csv,4,0.710037175,C,C,
sampled_relative_change_0.643-0.734.csv,5,0.671875,C,C,
sampled_relative_change_0.643-0.734.csv,6,0.666666667,C,C,
sampled_relative_change_0.643-0.734.csv,7,0.710037175,C,C,
sampled_relative_change_0.643-0.734.csv,8,0.65394402,C,C,
sampled_relative_change_0.643-0.734.csv,9,0.697201018,C,C,
sampled_relative_change_0.643-0.734.csv,10,0.718401487,,,
sampled_relative_change_0.643-0.734.csv,11,0.66,,,
sampled_relative_change_0.643-0.734.csv,12,0.65,,,
sampled_relative_change_0.643-0.734.csv,13,0.718401487,,,
sampled_relative_change_0.643-0.734.csv,14,0.647058824,,,
sampled_relative_change_0.643-0.734.csv,15,0.707070707,,,
sampled_relative_change_0.643-0.734.csv,16,0.652631579,,,
sampled_relative_change_0.643-0.734.csv,17,0.718969555,,,
sampled_relative_change_0.643-0.734.csv,18,0.656565657,,,
sampled_relative_change_0.643-0.734.csv,19,0.703125,,,
sampled_relative_change_0.734-0.826.csv,0,0.800185874,C,C,
sampled_relative_change_0.734-0.826.csv,1,0.800185874,C,C,
sampled_relative_change_0.734-0.826.csv,2,0.739130435,C,C,
sampled_relative_change_0.734-0.826.csv,3,0.763636364,C,C,
sampled_relative_change_0.734-0.826.csv,4,0.796107507,C,C,
sampled_relative_change_0.734-0.826.csv,5,0.785858586,C,C,
sampled_relative_change_0.734-0.826.csv,6,0.747572816,C,C,
sampled_relative_change_0.734-0.826.csv,7,0.785858586,C,C,
sampled_relative_change_0.734-0.826.csv,8,0.739130435,C,C,
sampled_relative_change_0.734-0.826.csv,9,0.739130435,C,C,
sampled_relative_change_0.734-0.826.csv,10,0.788135593,,,
sampled_relative_change_0.734-0.826.csv,11,0.785087719,,,
sampled_relative_change_0.734-0.826.csv,12,0.739130435,,,
sampled_relative_change_0.734-0.826.csv,13,0.800185874,,,
sampled_relative_change_0.734-0.826.csv,14,0.785858586,,,
sampled_relative_change_0.734-0.826.csv,15,0.747572816,,,
sampled_relative_change_0.734-0.826.csv,16,0.776315789,,,
sampled_relative_change_0.734-0.826.csv,17,0.77,,,
sampled_relative_change_0.734-0.826.csv,18,0.773737374,,,
sampled_relative_change_0.734-0.826.csv,19,0.763636364,,,
sampled_relative_change_0.826-0.918.csv,0,0.906976744,C,C,
sampled_relative_change_0.826-0.918.csv,1,0.895910781,C,C,
sampled_relative_change_0.826-0.918.csv,2,0.918032787,C,C,
sampled_relative_change_0.826-0.918.csv,3,0.895910781,C,C,
