repo,metamodels,originals,originals_links
https://github.com/m0ar/hotel-papyrus,m0ar$hotel-papyrus$Hotelsystem#types.ecore,creckord$org.eclipse.uml2$plugins#org.eclipse.uml2.types#model#Types.ecore,https://github.com/creckord/org.eclipse.uml2
https://github.com/masters-info-nantes/Black,masters-info-nantes$Black$fr.univnantes.alma.angular#model#angular.ecore,sbegaudeau$alma-m2-2015$fr.univnantes.alma.angular#model#angular.ecore,https://github.com/sbegaudeau/alma-m2-2015
https://github.com/bonitasoft/bonita-studio,bonitasoft$bonita-studio$bundles#plugins#org.bonitasoft.studio.importer#model#bpmn2.0-beta2#bpmn20di.ecore || bonitasoft$bonita-studio$bundles#plugins#org.bonitasoft.studio.connectors.model#model#implementation.ecore || bonitasoft$bonita-studio$bundles#plugins#org.bonitasoft.studio.importer#model#bpmn2.0-final#di.ecore || bonitasoft$bonita-studio$bundles#plugins#org.bonitasoft.studio.exporter#model#xhtml.ecore || bonitasoft$bonita-studio$bundles#plugins#org.bonitasoft.studio.connectors.model#model#definition.ecore || bonitasoft$bonita-studio$bundles#plugins#org.omg.schema.spec.bpmn#model#bpmn2.0-final#di1.ecore || bonitasoft$bonita-studio$bundles#plugins#org.omg.schema.spec.bpmn#model#bpmn2.0-final#dc.ecore || bonitasoft$bonita-studio$bundles#plugins#org.omg.schema.spec.bpmn#model#bpmn2.0-beta2#bpmn20di.ecore || bonitasoft$bonita-studio$bundles#plugins#org.bonitasoft.studio.jpdl#model#jpdl32.ecore || bonitasoft$bonita-studio$bundles#plugins#org.bonitasoft.studio-models#connector-configuration.ecore || bonitasoft$bonita-studio$bundles#plugins#org.bonitasoft.studio-models#kpi.ecore || bonitasoft$bonita-studio$bundles#plugins#org.bonitasoft.studio-models#simulation.ecore || bonitasoft$bonita-studio$bundles#plugins#org.bonitasoft.studio.condition#src-gen#org#bonitasoft#studio#condition#ConditionModel.ecore || bonitasoft$bonita-studio$bundles#plugins#org.bonitasoft.studio.xpdl#model#xpdl1.ecore || bonitasoft$bonita-studio$bundles#plugins#org.omg.schema.spec.bpmn#model#bpmn2.0-final#di.ecore || bonitasoft$bonita-studio$bundles#plugins#org.bonitasoft.studio.importer#model#bpmn2.0-final#di1.ecore || bonitasoft$bonita-studio$bundles#plugins#org.bonitasoft.studio-models#ActorMapping.ecore || bonitasoft$bonita-studio$bundles#plugins#org.bonitasoft.studio.importer#model#bpmn2.0-final#dc.ecore,Everteam-Software$bpmn2$org.eclipse.mdt.bpmn#model#di.ecore || damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#implementation.ecore || AniketosEU$Secure-Service-Specification-and-Deployment$Service Composition Framework#eu.aniketos.mtm.model#model#DI.ecore || FitashUlHaq$PivotBasedQVTo$examples#org.eclipse.m2m.qvt.oml.econ2009.tutorial#projects#qvto.uml2xhtml.model#model#xhtml.ecore || damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#definition.ecore || AniketosEU$Secure-Service-Specification-and-Deployment$Service Composition Framework#eu.aniketos.mtm.model#model#BPMNDI.ecore || bbrodt$bpmn2$org.eclipse.bpmn2#model#DC.ecore || Everteam-Software$bpmn2$org.eclipse.mdt.bpmn#model#di.ecore || mariliaafreire$marilia-doc-projects$jpdlSbcars#model#jpdl31.ecore || damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#connector-configuration.ecore || damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#kpi.ecore || damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#Simulation.ecore || damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#ConditionModel.ecore || damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#xpdl1.ecore || AniketosEU$Secure-Service-Specification-and-Deployment$Service Composition Framework#eu.aniketos.mtm.model#model#DI.ecore || AniketosEU$Secure-Service-Specification-and-Deployment$Service Composition Framework#eu.aniketos.mtm.model#model#BPMNDI.ecore || damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#ActorMapping.ecore || bbrodt$bpmn2$org.eclipse.bpmn2#model#DC.ecore,https://github.com/Everteam-Software/bpmn2 || https://github.com/damenac/puzzle || https://github.com/AniketosEU/Secure-Service-Specification-and-Deployment || https://github.com/FitashUlHaq/PivotBasedQVTo || https://github.com/damenac/puzzle || https://github.com/AniketosEU/Secure-Service-Specification-and-Deployment || https://github.com/bbrodt/bpmn2 || https://github.com/Everteam-Software/bpmn2 || https://github.com/mariliaafreire/marilia-doc-projects || https://github.com/damenac/puzzle || https://github.com/damenac/puzzle || https://github.com/damenac/puzzle || https://github.com/damenac/puzzle || https://github.com/damenac/puzzle || https://github.com/AniketosEU/Secure-Service-Specification-and-Deployment || https://github.com/AniketosEU/Secure-Service-Specification-and-Deployment || https://github.com/damenac/puzzle || https://github.com/bbrodt/bpmn2
https://github.com/dominicwyf/Hymake,dominicwyf$Hymake$PluginBase#generated#org#bimserver#models#store#impl#store.ecore || dominicwyf$Hymake$PluginBase#generated#org#bimserver#models#geometry#impl#geometry.ecore || dominicwyf$Hymake$PluginBase#generated#org#bimserver#models#log#impl#log.ecore,signalsaeed$IFCParser$Shared#generated#org#bimserver#models#store#impl#store.ecore || signalsaeed$IFCParser$Shared#generated#org#bimserver#models#geometry#impl#geometry.ecore || christianharrington$MDD$IfcModel#model#models1.ecore,https://github.com/signalsaeed/IFCParser || https://github.com/signalsaeed/IFCParser || https://github.com/christianharrington/MDD
https://github.com/kiegroup/kie-wb-common,kiegroup$kie-wb-common$kie-wb-common-stunner#kie-wb-common-stunner-sets#kie-wb-common-stunner-bpmn#kie-wb-common-stunner-bpmn-emf#model#drools.ecore || kiegroup$kie-wb-common$kie-wb-common-stunner#kie-wb-common-stunner-sets#kie-wb-common-stunner-bpmn#kie-wb-common-stunner-bpmn-emf#model#bpsim.ecore || kiegroup$kie-wb-common$kie-wb-common-stunner#kie-wb-common-stunner-sets#kie-wb-common-stunner-bpmn#kie-wb-common-stunner-bpmn-emf#model#color.ecore || kiegroup$kie-wb-common$kie-wb-common-stunner#kie-wb-common-stunner-sets#kie-wb-common-stunner-bpmn#kie-wb-common-stunner-bpmn-emf#model#DI.ecore || kiegroup$kie-wb-common$kie-wb-common-stunner#kie-wb-common-stunner-sets#kie-wb-common-stunner-bpmn#kie-wb-common-stunner-bpmn-emf#model#DC.ecore || kiegroup$kie-wb-common$kie-wb-common-stunner#kie-wb-common-stunner-sets#kie-wb-common-stunner-bpmn#kie-wb-common-stunner-bpmn-emf#model#BPMN20.ecore || kiegroup$kie-wb-common$kie-wb-common-stunner#kie-wb-common-stunner-sets#kie-wb-common-stunner-bpmn#kie-wb-common-stunner-bpmn-emf#model#BPMNDI.ecore,kiegroup$jbpm$jbpm-bpmn2-emfextmodel#src#main#resources#model#drools.ecore || kiegroup$jbpm$jbpm-bpmn2-emfextmodel#src#main#resources#model#bpsim.ecore || kiegroup$jbpm$jbpm-bpmn2-emfextmodel#src#main#resources#model#color.ecore || InspireTechnologies$org.eclipse.bpmn2$org.eclipse.bpmn2#model#DI.ecore || bbrodt$bpmn2$org.eclipse.bpmn2#model#DC.ecore || bbrodt$bpmn2$org.eclipse.bpmn2#src#org#eclipse#bpmn2#impl#bpmn2.ecore || InspireTechnologies$org.eclipse.bpmn2$org.eclipse.bpmn2#model#BPMNDI.ecore,https://github.com/kiegroup/jbpm || https://github.com/kiegroup/jbpm || https://github.com/kiegroup/jbpm || https://github.com/InspireTechnologies/org.eclipse.bpmn2 || https://github.com/bbrodt/bpmn2 || https://github.com/bbrodt/bpmn2 || https://github.com/InspireTechnologies/org.eclipse.bpmn2
https://github.com/dresden-ocl/dresdenocl,dresden-ocl$dresdenocl$plugins#org.dresdenocl.tracer#model#tracermodel.ecore || dresden-ocl$dresdenocl$plugins#org.dresdenocl.tools.CWM#resources#model#DataMining.ecore || dresden-ocl$dresdenocl$tests#org.dresdenocl.metrics.test#resources#testmodel.ecore || dresden-ocl$dresdenocl$tests#org.dresdenocl.modelinstancetype.ecore.test#resources#testmodel.ecore || dresden-ocl$dresdenocl$plugins#org.dresdenocl.examples.pml#model#pml.ecore || dresden-ocl$dresdenocl$tests#org.dresdenocl.metamodels.ecore.test#model#testModel.ecore || dresden-ocl$dresdenocl$plugins#org.dresdenocl.language.ocl#metamodel#OCL.ecore || dresden-ocl$dresdenocl$plugins#org.dresdenocl.essentialocl#model#essentialocl.ecore || dresden-ocl$dresdenocl$tests#org.dresdenocl.tools.codegen.ocl2java.test#resources#modelica#Modelica.ecore || dresden-ocl$dresdenocl$plugins#org.dresdenocl.tools.CWM#resources#model#CWM.ecore || dresden-ocl$dresdenocl$tests#org.dresdenocl.modelinstancetype.xml.test#model#test01.ecore || dresden-ocl$dresdenocl$plugins#org.dresdenocl.pivotmodel#model#pivotmodel.ecore || dresden-ocl$dresdenocl$plugins#org.dresdenocl.pivotmodel#model#datatypes.ecore || dresden-ocl$dresdenocl$plugins#org.dresdenocl.tools.codegen.declarativ#resources#model#MappingModel.ecore || dresden-ocl$dresdenocl$plugins#org.dresdenocl.metrics#metamodel#metric.ecore,dresden-ocl$legacy$ocl20forEclipse#eclipse#tudresden.ocl20.pivot.tracer#model#tracermodel.ecore || dresden-ocl$legacy$ocl20forEclipse#eclipse#tudresden.ocl20.pivot.tools.CWM#resources#model#DataMining.ecore || dresden-ocl$legacy$ocl20forEclipse#tests#org.dresdenocl.metrics.test#resources#testmodel.ecore || dresden-ocl$legacy$ocl20forEclipse#tests#tudresden.ocl20.pivot.modelinstancetype.ecore.test#resources#testmodel.ecore || dresden-ocl$legacy$ocl20forEclipse#eclipse#tudresden.ocl20.pivot.examples.pml#model#pml.ecore || dresden-ocl$legacy$ocl20forEclipse#tests#tudresden.ocl20.pivot.metamodels.ecore.test#model#testModel.ecore || dresden-ocl$legacy$ocl20forEclipse#eclipse#tudresden.ocl20.pivot.language.ocl#metamodel#OCL.ecore || dresden-ocl$legacy$ocl20forEclipse#eclipse#tudresden.ocl20.pivot.essentialocl#model#essentialocl.ecore || dresden-ocl$legacy$ocl20forEclipse#tests#tudresden.ocl20.pivot.tools.codegen.ocl2java.test#resources#modelica#Modelica.ecore || dresden-ocl$legacy$ocl20forEclipse#eclipse#tudresden.ocl20.pivot.tools.CWM#resources#model#CWM.ecore || dresden-ocl$legacy$ocl20forEclipse#tests#tudresden.ocl20.pivot.modelinstancetype.xml.test#model#test01.ecore || dresden-ocl$legacy$ocl20forEclipse#eclipse#tudresden.ocl20.pivot.pivotmodel#model#pivotmodel.ecore || dresden-ocl$legacy$ocl20forEclipse#eclipse#tudresden.ocl20.pivot.pivotmodel#model#datatypes.ecore || dresden-ocl$legacy$ocl20forEclipse#eclipse#tudresden.ocl20.pivot.tools.codegen.declarativ#resources#model#MappingModel.ecore || dresden-ocl$legacy$ocl20forEclipse#eclipse#org.dresdenocl.metrics#metamodel#metric.ecore,https://github.com/dresden-ocl/legacy || https://github.com/dresden-ocl/legacy || https://github.com/dresden-ocl/legacy || https://github.com/dresden-ocl/legacy || https://github.com/dresden-ocl/legacy || https://github.com/dresden-ocl/legacy || https://github.com/dresden-ocl/legacy || https://github.com/dresden-ocl/legacy || https://github.com/dresden-ocl/legacy || https://github.com/dresden-ocl/legacy || https://github.com/dresden-ocl/legacy || https://github.com/dresden-ocl/legacy || https://github.com/dresden-ocl/legacy || https://github.com/dresden-ocl/legacy || https://github.com/dresden-ocl/legacy
https://github.com/delacyr/bplframework,delacyr$bplframework$bpmn2#org.eclipse.bpmn2#model#DI.ecore || delacyr$bplframework$bpmn2.modeler#org.eclipse.bpmn2.modeler.runtime.jboss.jbpm5#model#bpsim.ecore || delacyr$bplframework$bpmn2#org.eclipse.bpmn2.tools.ecoremerger#model#exceptions.ecore || delacyr$bplframework$bpmn2#org.eclipse.bpmn2#target#classes#org#eclipse#bpmn2#impl#bpmn2.ecore || delacyr$bplframework$bpmn2.modeler#org.eclipse.bpmn2.modeler.runtime.jboss.jbpm5#model#latest#bpsim.ecore || delacyr$bplframework$bpmn2.modeler#org.eclipse.bpmn2.modeler.runtime.jboss.jbpm5#model#latest#drools.ecore || delacyr$bplframework$bpmn2#org.eclipse.bpmn2#src#org#eclipse#bpmn2#impl#bpmn2.ecore || delacyr$bplframework$bpmn2.modeler#org.eclipse.bpmn2.modeler.runtime.jboss.jbpm5#model#drools.ecore || delacyr$bplframework$bpmn2#org.eclipse.bpmn2#model#BPMN20.ecore || delacyr$bplframework$bpmn2#org.eclipse.bpmn2#model#BPMNDI.ecore || delacyr$bplframework$bpmn2#org.eclipse.bpmn2#model#DC.ecore,InspireTechnologies$org.eclipse.bpmn2$org.eclipse.bpmn2#model#DI.ecore || kiegroup$jbpm$jbpm-bpmn2-emfextmodel#src#main#resources#model#bpsim.ecore || InspireTechnologies$org.eclipse.bpmn2$org.eclipse.bpmn2.tools.ecoremerger#model#exceptions.ecore || bbrodt$bpmn2$org.eclipse.bpmn2#src#org#eclipse#bpmn2#impl#bpmn2.ecore || kiegroup$jbpm$jbpm-bpmn2-emfextmodel#src#main#resources#model#bpsim.ecore || kiegroup$jbpm$jbpm-bpmn2-emfextmodel#src#main#resources#model#drools.ecore || bbrodt$bpmn2$org.eclipse.bpmn2#src#org#eclipse#bpmn2#impl#bpmn2.ecore || kiegroup$jbpm$jbpm-bpmn2-emfextmodel#src#main#resources#model#drools.ecore || bbrodt$bpmn2$org.eclipse.bpmn2#src#org#eclipse#bpmn2#impl#bpmn2.ecore || InspireTechnologies$org.eclipse.bpmn2$org.eclipse.bpmn2#model#BPMNDI.ecore || bbrodt$bpmn2$org.eclipse.bpmn2#model#DC.ecore,https://github.com/InspireTechnologies/org.eclipse.bpmn2 || https://github.com/kiegroup/jbpm || https://github.com/InspireTechnologies/org.eclipse.bpmn2 || https://github.com/bbrodt/bpmn2 || https://github.com/kiegroup/jbpm || https://github.com/kiegroup/jbpm || https://github.com/bbrodt/bpmn2 || https://github.com/kiegroup/jbpm || https://github.com/bbrodt/bpmn2 || https://github.com/InspireTechnologies/org.eclipse.bpmn2 || https://github.com/bbrodt/bpmn2
https://github.com/KnowageLabs/Knowage-Server,KnowageLabs$Knowage-Server$knowagemeta#modeldefinition#SpagoBIMetaModel.ecore,SpagoBILabs$SpagoBI-Meta$it.eng.spagobi.meta.model#model#SpagoBIMetaModel.ecore,https://github.com/SpagoBILabs/SpagoBI-Meta
https://github.com/tsurdilo/bpmn2,tsurdilo$bpmn2$org.eclipse.bpmn2#model#DC.ecore || tsurdilo$bpmn2$org.eclipse.bpmn2#src#org#eclipse#bpmn2#impl#bpmn2.ecore || tsurdilo$bpmn2$org.eclipse.bpmn2#model#BPMNDI.ecore || tsurdilo$bpmn2$org.eclipse.bpmn2.tools.ecoremerger#model#exceptions.ecore || tsurdilo$bpmn2$org.eclipse.bpmn2#model#DI.ecore || tsurdilo$bpmn2$org.eclipse.bpmn2#model#BPMN20.ecore,bbrodt$bpmn2$org.eclipse.bpmn2#model#DC.ecore || bbrodt$bpmn2$org.eclipse.bpmn2#src#org#eclipse#bpmn2#impl#bpmn2.ecore || InspireTechnologies$org.eclipse.bpmn2$org.eclipse.bpmn2#model#BPMNDI.ecore || InspireTechnologies$org.eclipse.bpmn2$org.eclipse.bpmn2.tools.ecoremerger#model#exceptions.ecore || InspireTechnologies$org.eclipse.bpmn2$org.eclipse.bpmn2#model#DI.ecore || bbrodt$bpmn2$org.eclipse.bpmn2#src#org#eclipse#bpmn2#impl#bpmn2.ecore,https://github.com/bbrodt/bpmn2 || https://github.com/bbrodt/bpmn2 || https://github.com/InspireTechnologies/org.eclipse.bpmn2 || https://github.com/InspireTechnologies/org.eclipse.bpmn2 || https://github.com/InspireTechnologies/org.eclipse.bpmn2 || https://github.com/bbrodt/bpmn2
https://github.com/epsilonlabs/parallel-erl,epsilonlabs$parallel-erl$evaluation#java#java_findbugs.ecore || epsilonlabs$parallel-erl$evaluation#java#java.ecore || epsilonlabs$parallel-erl$evaluation#uk.ac.york.ocl.javaMM#model#java_findbugs_simple.ecore || epsilonlabs$parallel-erl$evaluation#uk.ac.york.ocl.javaMM#model#java_findbugs.ecore || epsilonlabs$parallel-erl$tests#org.eclipse.epsilon.evl.engine.test.ocl#src#org#eclipse#epsilon#evl#engine#test#ocl#equivalence#metamodels#java_findbugs.ecore || epsilonlabs$parallel-erl$evaluation#thrift#thrift.ecore || epsilonlabs$parallel-erl$tests#org.eclipse.epsilon.evl.engine.test.ocl#src#org#eclipse#epsilon#evl#engine#test#ocl#equivalence#metamodels#java_simple.ecore || epsilonlabs$parallel-erl$evaluation#uk.ac.york.ocl.imdb_select#model#imdb_select.ecore || epsilonlabs$parallel-erl$evaluation#uk.ac.york.ocl.imdb_select#model#movies.ecore || epsilonlabs$parallel-erl$tests#org.eclipse.epsilon.evl.engine.test.ocl#src#org#eclipse#epsilon#evl#engine#test#ocl#equivalence#metamodels#java.ecore || epsilonlabs$parallel-erl$evaluation#java#java_simple.ecore || epsilonlabs$parallel-erl$evaluation#dblp#dblp.ecore || epsilonlabs$parallel-erl$evaluation#imdb#movies.ecore || epsilonlabs$parallel-erl$evaluation#uk.ac.york.ocl.javaMM#src#javaMM#impl#javaMM.ecore || epsilonlabs$parallel-erl$evaluation#simulink#simulink.ecore,lehrig$m2m-quality$de.upb.m2m.quality.languages.java#metamodel#java.ecore || lehrig$m2m-quality$de.upb.m2m.quality.languages.java#metamodel#java.ecore || lehrig$m2m-quality$de.upb.m2m.quality.languages.java#metamodel#java.ecore || lehrig$m2m-quality$de.upb.m2m.quality.languages.java#metamodel#java.ecore || lehrig$m2m-quality$de.upb.m2m.quality.languages.java#metamodel#java.ecore || SMadani$ThriftMDE$metamodel#thrift.ecore || lehrig$m2m-quality$de.upb.m2m.quality.languages.java#metamodel#java.ecore || epsilonlabs$parallel-erl-temp$evaluation#uk.ac.york.ocl.imdb_select#model#imdb_select.ecore || antmordel$TTC14eMotions$Metamodels#movies.ecore || lehrig$m2m-quality$de.upb.m2m.quality.languages.java#metamodel#java.ecore || lehrig$m2m-quality$de.upb.m2m.quality.languages.java#metamodel#java.ecore || lolybc88$LinTra$CaseStudiesEMFTVM#dblp#DBLP.ecore || antmordel$TTC14eMotions$Metamodels#movies.ecore || lehrig$m2m-quality$de.upb.m2m.quality.languages.java#metamodel#java.ecore || viatra$massif$plugins#hu.bme.mit.massif.simulink#model#simulink.ecore,https://github.com/lehrig/m2m-quality || https://github.com/lehrig/m2m-quality || https://github.com/lehrig/m2m-quality || https://github.com/lehrig/m2m-quality || https://github.com/lehrig/m2m-quality || https://github.com/SMadani/ThriftMDE || https://github.com/lehrig/m2m-quality || https://github.com/epsilonlabs/parallel-erl-temp || https://github.com/antmordel/TTC14eMotions || https://github.com/lehrig/m2m-quality || https://github.com/lehrig/m2m-quality || https://github.com/lolybc88/LinTra || https://github.com/antmordel/TTC14eMotions || https://github.com/lehrig/m2m-quality || https://github.com/viatra/massif
