Domain,Cluster,representative,compared_with,duplicate_detector,manual_label
statemachines,0,manualDomains/408_008_050_sgraph--1307300175.ecore,manualDomains/411_008_053_sgraph--1726794821.ecore,1,1
statemachines,1,manualDomains/502_008_144_TfsmExtended-1146294864.ecore,manualDomains/503_008_145_TfsmMT-1614398415.ecore,1,1
statemachines,2,manualDomains/430_008_072_simplestatechart--84754729.ecore,manualDomains/431_008_073_simplestatechart101-1289418548.ecore,1,1
statemachines,3,manualDomains/474_008_116_SText--1175318693.ecore,manualDomains/486_008_128_SText-1053278583.ecore,1,1
statemachines,4,manualDomains/491_008_133_SText-2014389502.ecore,manualDomains/475_008_117_SText--1184500197.ecore,1,1
statemachines,5,manualDomains/455_008_097_statemachine--835670558.ecore,manualDomains/448_008_090_Statemachine--1212133806.ecore,1,1
statemachines,6,manualDomains/383_008_025_fsm--810279094.ecore,manualDomains/382_008_024_fsm--1639641521.ecore,1,1
statemachines,7,manualDomains/391_008_033_HierarchicalStateMachine--917840741.ecore,manualDomains/390_008_032_HierarchicalStateMachine--7674311.ecore,1,1
statemachines,8,manualDomains/441_008_083_statechart02--1064496830.ecore,manualDomains/440_008_082_statechart01--1952000513.ecore,1,1
statemachines,9,manualDomains/364_008_006_Automaton--2041022196.ecore,manualDomains/367_008_009_Automaton-507393251.ecore,1,1
statemachines,10,manualDomains/496_008_138_synccharts-589358399.ecore,manualDomains/495_008_137_synccharts-1770063137.ecore,1,1
statemachines,11,manualDomains/435_008_077_state-381954385.ecore,manualDomains/434_008_076_state--1405220375.ecore,1,1
statemachines,12,manualDomains/516_008_158_UmlTransition-1307121535.ecore,manualDomains/514_008_156_UmlTransition--1300313091.ecore,1,1
statemachines,13,manualDomains/463_008_105_statemachines-1639342345.ecore,manualDomains/462_008_104_statemachines-160409643.ecore,1,1
statemachines,14,manualDomains/398_008_040_min_uml1--323836279.ecore,manualDomains/403_008_045_original_minimal_metamodel-1639360337.ecore,1,1
statemachines,15,manualDomains/379_008_021_FMPL-basic--1620128903.ecore,manualDomains/378_008_020_FMPL-basic--1418217170.ecore,1,1
statemachines,16,manualDomains/449_008_091_StateMachine--124870873.ecore,manualDomains/447_008_089_StateMachine--1190612645.ecore,1,1
